iter	Passed	Remaining
487	663	696
488	665	695
489	666	693
490	667	692
491	669	691
492	670	689
493	671	688
494	673	687
495	675	686
496	676	684
497	678	683
498	679	682
499	681	681
500	682	680
501	684	678
502	685	677
503	687	676
504	688	674
505	689	673
506	691	672
507	692	670
508	693	669
509	694	667
510	696	666
511	697	664
512	699	663
513	700	662
514	701	661
515	703	659
516	704	658
517	705	656
518	706	655
519	708	653
520	709	652
521	710	650
522	711	649
523	713	648
524	715	647
525	716	645
526	717	644
527	718	642
528	720	641
529	721	639
530	722	638
531	723	636
532	725	635
533	726	633
534	727	632
535	729	631
536	730	629
537	731	628
538	733	626
539	734	625
540	735	623
541	736	622
542	737	621
543	739	619
544	740	618
545	741	616
546	743	615
547	745	614
548	746	613
549	747	611
550	748	610
551	749	608
552	751	607
553	752	605
554	753	604
555	754	602
556	756	601
557	757	599
558	759	598
559	760	597
560	762	596
561	763	595
562	764	593
563	766	592
564	767	590
565	768	589
566	769	587
567	771	586
568	772	585
569	774	584
570	775	582
571	776	581
572	778	579
573	779	578
574	780	576
575	781	575
576	783	574
577	784	572
578	785	571
579	787	570
580	788	568
581	790	567
582	791	565
583	792	564
584	793	563
585	794	561
586	796	560
587	797	558
588	798	557
589	800	555
590	801	554
591	802	553
592	804	551
593	805	550
594	806	549
595	807	547
596	809	546
597	810	544
598	811	543
599	813	542
600	814	540
601	816	539
602	818	538
603	820	537
604	821	536
605	822	534
606	823	533
607	825	532
608	827	530
609	828	529
610	830	529
611	834	528
612	835	527
613	837	526
614	839	525
615	840	524
616	842	522
617	843	521
618	844	519
619	846	518
620	847	517
621	848	515
622	850	514
623	851	513
624	853	512
625	855	511
626	857	509
627	858	508
628	859	507
629	861	505
630	862	504
631	864	503
632	865	501
633	867	500
634	868	499
635	869	497
636	871	496
637	872	495
638	873	493
639	875	492
640	876	490
641	878	489
642	879	488
643	881	487
644	882	485
645	884	484
646	885	483
647	886	481
648	888	480
649	889	479
650	890	477
651	892	476
652	894	475
653	895	473
654	897	472
655	898	471
656	899	469
657	901	468
658	902	467
659	904	465
660	905	464
661	907	463
662	909	462
663	911	461
664	912	459
665	914	458
666	915	457
667	917	455
668	918	454
669	919	453
670	921	451
671	923	450
672	924	449
673	925	447
674	927	446
675	928	445
676	929	443
677	931	442
678	932	441
679	934	439
680	936	438
681	937	437
682	939	435
683	940	434
684	942	433
685	943	431
686	944	430
687	946	429
688	947	427
689	948	426
690	950	424
691	951	423
692	952	422
693	954	420
694	955	419
695	956	417
696	957	416
697	959	414
698	960	413
699	961	412
700	963	410
701	964	409
702	965	407
703	967	406
704	968	405
705	969	403
706	971	402
707	972	400
708	973	399
709	974	398
710	976	396
711	977	395
712	978	393
713	979	392
714	981	391
715	982	389
716	983	388
717	985	386
718	986	385
719	987	384
720	989	382
721	990	381
722	991	379
723	992	378
724	994	377
725	995	375
726	996	374
727	998	373
728	999	371
729	1001	370
730	1002	368
731	1003	367
732	1004	366
733	1006	364
734	1007	363
735	1008	361
736	1009	360
737	1011	359
738	1012	357
739	1014	356
740	1015	354
741	1016	353
742	1018	352
743	1019	350
744	1020	349
745	1021	347
746	1023	346
747	1024	345
748	1025	343
749	1027	342
750	1028	341
751	1030	339
752	1031	338
753	1032	336
754	1033	335
755	1035	334
756	1036	332
757	1037	331
758	1039	329
759	1040	328
760	1041	327
761	1043	325
762	1045	324
763	1046	323
764	1048	321
765	1049	320
766	1050	319
767	1051	317
768	1052	316
769	1054	314
770	1055	313
771	1057	312
772	1058	310
773	1059	309
774	1061	308
775	1062	306
776	1063	305
777	1064	303
778	1066	302
779	1067	301
780	1068	299
781	1069	298
782	1071	296
783	1072	295
784	1074	294
785	1075	292
786	1076	291
787	1078	290
788	1079	288
789	1080	287
790	1081	285
791	1083	284
792	1084	283
793	1085	281
794	1087	280
795	1088	279
796	1090	277
797	1091	276
798	1093	275
799	1094	273
800	1096	272
801	1097	270
802	1099	269
803	1100	268
804	1102	267
805	1103	265
806	1105	264
807	1106	262
808	1107	261
809	1108	260
810	1109	258
811	1111	257
812	1112	255
813	1113	254
814	1115	253
815	1116	251
816	1118	250
817	1120	249
818	1121	247
819	1122	246
820	1124	245
821	1125	243
822	1126	242
823	1127	240
824	1129	239
825	1130	238
826	1132	236
827	1133	235
828	1135	234
829	1136	232
830	1137	231
831	1139	230
832	1140	228
833	1141	227
834	1142	225
835	1144	224
836	1145	223
837	1147	221
838	1148	220
839	1150	219
840	1151	217
841	1152	216
842	1153	214
843	1155	213
844	1156	212
845	1157	210
846	1159	209
847	1160	208
848	1162	206
849	1164	205
850	1165	204
851	1167	202
852	1168	201
853	1170	200
854	1171	198
855	1172	197
856	1174	195
857	1175	194
858	1177	193
859	1178	191
860	1180	190
861	1181	189
862	1182	187
863	1184	186
864	1185	185
865	1187	183
866	1188	182
867	1190	181
868	1191	179
869	1193	178
870	1194	176
871	1196	175
872	1197	174
873	1198	172
874	1200	171
875	1201	170
876	1203	168
877	1204	167
878	1205	165
879	1207	164
880	1208	163
881	1210	161
882	1211	160
883	1212	159
884	1214	157
885	1215	156
886	1216	154
887	1217	153
888	1218	152
889	1220	150
890	1221	149
891	1223	148
892	1225	146
893	1226	145
894	1228	144
895	1229	142
896	1231	141
897	1232	139
898	1233	138
899	1234	137
900	1236	135
901	1237	134
902	1239	133
903	1240	131
904	1241	130
905	1242	128
906	1244	127
907	1245	126
908	1246	124
909	1247	123
910	1248	122
911	1250	120
912	1251	119
913	1253	117
914	1254	116
915	1256	115
916	1257	113
917	1258	112
918	1260	111
919	1261	109
920	1262	108
921	1263	106
922	1265	105
923	1266	104
924	1268	102
925	1269	101
926	1271	100
927	1272	98
928	1273	97
929	1274	95
930	1275	94
931	1277	93
932	1278	91
933	1279	90
934	1280	89
935	1282	87
936	1283	86
937	1285	84
938	1286	83
939	1287	82
940	1288	80
941	1290	79
942	1291	78
943	1292	76
944	1293	75
945	1295	73
946	1296	72
947	1298	71
948	1299	69
949	1300	68
950	1302	67
951	1303	65
952	1304	64
953	1305	62
954	1306	61
955	1308	60
956	1309	58
957	1310	57
958	1312	56
959	1313	54
960	1315	53
961	1316	52
962	1317	50
963	1319	49
964	1320	47
965	1321	46
966	1322	45
967	1324	43
968	1325	42
969	1327	41
970	1328	39
971	1329	38
972	1331	36
973	1332	35
974	1333	34
975	1335	32
976	1336	31
977	1337	30
978	1338	28
979	1340	27
980	1341	25
981	1342	24
982	1344	23
983	1345	21
984	1346	20
985	1348	19
986	1349	17
987	1350	16
988	1351	15
989	1353	13
990	1354	12
991	1355	10
992	1357	9
993	1358	8
994	1360	6
995	1361	5
996	1362	4
997	1364	2
998	1365	1
999	1366	0
