iter	RMSE
170	4.874744262
171	4.872474425
172	4.868195624
173	4.864255422
174	4.862082883
175	4.857987642
176	4.854658904
177	4.847725553
178	4.845029086
179	4.843181441
180	4.842328954
181	4.838194212
182	4.831452728
183	4.828808409
184	4.824469927
185	4.817833377
186	4.814299647
187	4.808359165
188	4.803521867
189	4.797268458
190	4.791169178
191	4.783291823
192	4.780498848
193	4.777063178
194	4.773260072
195	4.771385456
196	4.76841988
197	4.763805078
198	4.761531445
199	4.75803699
200	4.753765534
201	4.747174155
202	4.74409133
203	4.738712328
204	4.737904794
205	4.736720368
206	4.728675108
207	4.726290309
208	4.721718271
209	4.718427879
210	4.715726057
211	4.712403516
212	4.707910905
213	4.702752637
214	4.699313167
215	4.697642887
216	4.695778817
217	4.693924301
218	4.690677519
219	4.688752923
220	4.684926548
221	4.682368779
222	4.680387356
223	4.675091274
224	4.671590064
225	4.669506748
226	4.663874778
227	4.659944726
228	4.654969841
229	4.649281402
230	4.647015737
231	4.643102541
232	4.641312589
233	4.63966208
234	4.635076165
235	4.629102776
236	4.626654271
237	4.624575326
238	4.620820068
239	4.616710793
240	4.61408862
241	4.612464084
242	4.610590606
243	4.607844072
244	4.606829134
245	4.604827888
246	4.601193392
247	4.597290709
248	4.590637075
249	4.58731226
250	4.583504971
251	4.578346392
252	4.576718082
253	4.569729699
254	4.564712903
255	4.56017056
256	4.556168631
257	4.551210889
258	4.54780009
259	4.54294016
260	4.540869956
261	4.536353126
262	4.536198728
263	4.535722462
264	4.53324123
265	4.525081197
266	4.520116757
267	4.516552254
268	4.510808311
269	4.507617338
270	4.506506548
271	4.503692123
272	4.498124354
273	4.495109875
274	4.490844341
275	4.486126309
276	4.484122958
277	4.482718241
278	4.477824836
279	4.474133074
280	4.472708629
281	4.471713066
282	4.468160814
283	4.462789605
284	4.458561788
285	4.456152007
286	4.454518339
287	4.448615389
288	4.445332848
289	4.444148265
290	4.440178126
291	4.437256503
292	4.43554391
293	4.433505421
294	4.430121192
295	4.428334904
296	4.42520367
297	4.420273442
298	4.414357682
299	4.411361022
300	4.409536579
301	4.407281214
302	4.405495373
303	4.403539309
304	4.400846625
305	4.400439034
306	4.398233333
307	4.393228278
308	4.389528854
309	4.38539891
310	4.383291873
311	4.380800157
312	4.375685705
313	4.368751747
314	4.36596477
315	4.361810919
316	4.356997132
317	4.349960779
318	4.346798696
319	4.344409711
320	4.338322401
321	4.337145485
322	4.334310742
323	4.330970848
324	4.326930394
325	4.323123129
326	4.318974386
327	4.316545278
328	4.314030742
329	4.310965346
330	4.307731173
331	4.302490773
332	4.300966837
333	4.296710143
334	4.29222768
335	4.290069663
336	4.285934767
337	4.280563159
338	4.278426906
339	4.277408906
340	4.273963309
341	4.27316
342	4.268083508
343	4.267709517
344	4.265720776
345	4.263461951
346	4.258995715
347	4.25509127
348	4.251704992
349	4.249692571
350	4.245513818
351	4.244405749
352	4.242825903
353	4.240518116
354	4.235769782
355	4.231120791
356	4.226899181
357	4.226312287
358	4.223640979
359	4.219492525
360	4.217380621
361	4.214012528
362	4.210463555
363	4.208221871
364	4.2064429
365	4.20484726
366	4.198916277
367	4.194529067
368	4.189268308
369	4.187150725
370	4.183364851
371	4.180449233
372	4.176379574
373	4.171959989
374	4.169262089
375	4.164425376
376	4.162413998
377	4.158628594
378	4.156160677
379	4.149252955
380	4.145454173
381	4.143651097
382	4.1425928
383	4.139083223
384	4.134062019
385	4.126702872
386	4.126314712
387	4.124550877
388	4.122609613
389	4.121856892
390	4.118801954
391	4.116015557
392	4.112944662
393	4.109920429
394	4.108987439
395	4.10817488
396	4.103209358
397	4.096547087
398	4.094315503
399	4.092394817
400	4.086357628
401	4.084141233
402	4.079973902
403	4.075184693
404	4.072730168
405	4.072544769
406	4.071069248
407	4.069741493
408	4.066666745
409	4.065311306
410	4.063642855
411	4.06236882
412	4.058343056
413	4.054496573
414	4.052985337
415	4.052414526
416	4.050854144
417	4.047278593
418	4.046618659
419	4.044353243
420	4.043965313
421	4.042431377
422	4.040714162
423	4.036494059
424	4.034087689
425	4.029673817
426	4.028778781
427	4.026963229
428	4.022593376
429	4.01931119
430	4.018231727
431	4.017457506
432	4.013597913
433	4.009204417
434	4.00728897
435	4.005241884
436	4.001491354
437	3.998854394
438	3.995910698
439	3.994464082
440	3.990219254
441	3.987957968
442	3.983362014
443	3.98022389
444	3.977127731
445	3.97544377
446	3.974567275
447	3.971526406
448	3.970165215
449	3.967583349
450	3.964879418
451	3.961369644
452	3.960000516
453	3.958023936
454	3.954875847
455	3.952863396
456	3.94942959
457	3.947034512
458	3.945120753
459	3.943805738
460	3.943125205
461	3.939291612
462	3.936843987
463	3.935656594
464	3.934470837
465	3.931377363
466	3.927522942
467	3.925825865
468	3.922005895
469	3.921178929
470	3.918337564
471	3.917848296
472	3.916276532
473	3.913987467
474	3.912755133
475	3.909212439
476	3.908245619
477	3.907126816
478	3.90613098
479	3.901854722
480	3.899928391
481	3.897832143
482	3.89438469
483	3.88907872
484	3.885900116
485	3.881008236
486	3.876244561
487	3.873002671
488	3.872365558
489	3.87172512
490	3.870132373
491	3.865560071
492	3.862569349
493	3.859155212
494	3.854888185
495	3.85006956
496	3.84586353
497	3.844447545
498	3.841579583
499	3.838486866
500	3.835622974
501	3.832157179
502	3.830176382
503	3.828221897
504	3.825178337
505	3.821119752
506	3.81816975
507	3.813653627
508	3.811448013
509	3.809336363
510	3.808795079
511	3.807430049
512	3.804468523
513	3.804000933
514	3.802301843
515	3.801018942
516	3.799319392
517	3.798699431
518	3.796077768
519	3.793474319
520	3.78854878
521	3.785322345
522	3.783694663
523	3.781358778
524	3.778913
525	3.776542498
526	3.774439103
527	3.773641404
528	3.772613663
529	3.769419108
530	3.766906296
531	3.764236323
532	3.761363672
533	3.758622974
534	3.758435228
535	3.755390176
536	3.755316485
537	3.753856301
538	3.753488326
539	3.750401746
540	3.747513917
541	3.747431926
542	3.74634739
543	3.744926181
544	3.740287105
545	3.738577124
546	3.735052866
547	3.733754983
548	3.732526068
549	3.732421275
550	3.731794408
551	3.728443039
552	3.727804533
553	3.727358466
554	3.724510466
555	3.723428315
556	3.719325526
557	3.71892647
558	3.715860323
559	3.715768639
560	3.713071338
561	3.709954712
562	3.708015538
563	3.706050238
564	3.703451411
565	3.702175395
566	3.700613748
567	3.697191002
568	3.696254619
569	3.695174388
570	3.692091736
571	3.690764585
572	3.689879636
573	3.688677866
574	3.686924621
575	3.683992954
576	3.68076918
577	3.680084
578	3.677623503
579	3.674099236
580	3.673662647
581	3.673273772
582	3.671030338
583	3.667509063
584	3.663877347
585	3.66302445
586	3.659134295
587	3.657846729
588	3.654458645
589	3.651921672
590	3.649493599
591	3.647435676
592	3.644524262
593	3.643522829
594	3.640203321
595	3.639322963
596	3.63886096
597	3.637320414
598	3.634875148
599	3.632709947
600	3.631498292
601	3.63067604
602	3.62846502
603	3.624746216
604	3.622146212
605	3.621496723
606	3.620826139
607	3.62052604
608	3.619409549
609	3.617564538
610	3.614982222
611	3.614335164
612	3.61086422
613	3.610533655
614	3.607661115
615	3.606642898
616	3.603987394
617	3.601315346
618	3.598519389
619	3.598102533
620	3.596093773
621	3.595093394
622	3.593458019
623	3.592481475
624	3.591965552
625	3.589455209
626	3.587854337
627	3.587173014
628	3.586860633
629	3.586310943
630	3.583999401
631	3.583681988
632	3.581244424
633	3.578938776
634	3.57624829
635	3.572773805
636	3.571478575
637	3.570255774
638	3.569849736
639	3.566659113
640	3.56459837
641	3.561846417
642	3.558364382
643	3.555279167
644	3.554202758
645	3.550870808
646	3.550626295
647	3.548268612
648	3.545695743
649	3.543277444
650	3.542524215
651	3.541686842
652	3.539302018
653	3.536651143
654	3.53422027
655	3.533527044
656	3.532816024
657	3.532112566
658	3.53002894
659	3.52614882
660	3.525316587
661	3.524766334
662	3.523152575
663	3.521246759
664	3.519029115
665	3.517410337
666	3.51715511
667	3.516772774
668	3.510523585
669	3.508915471
670	3.507577552
671	3.507330094
672	3.506514112
673	3.505910128
674	3.504769909
675	3.504040051
676	3.503211868
677	3.502556664
678	3.501849221
679	3.499728208
680	3.498780134
681	3.496410044
682	3.49434634
683	3.493536781
684	3.491453055
685	3.488862784
686	3.488000836
687	3.48539425
688	3.483205416
689	3.480772743
690	3.478084227
691	3.477187135
692	3.475354192
693	3.473232568
694	3.470750494
695	3.468651071
696	3.468313179
697	3.467689615
698	3.465571501
699	3.465372568
700	3.463781988
701	3.463091915
702	3.461534873
703	3.46096625
704	3.460025947
705	3.457949759
706	3.455582942
707	3.454816474
708	3.452726441
709	3.452239853
710	3.451033427
711	3.449113894
712	3.446542977
713	3.444552673
714	3.442854639
715	3.441247564
716	3.43937545
717	3.438996404
718	3.437295071
719	3.432933306
720	3.431582783
721	3.429780568
722	3.42701009
723	3.425972545
724	3.424470161
725	3.424046977
726	3.422316676
727	3.421994596
728	3.420780809
729	3.41802194
730	3.417576352
731	3.417270439
732	3.415798179
733	3.414961964
734	3.413371339
735	3.411396569
736	3.40768899
737	3.404773371
738	3.40390385
739	3.403258348
740	3.401994671
741	3.401011761
742	3.399475521
743	3.397803186
744	3.396672323
745	3.393301116
746	3.387751185
747	3.385127701
748	3.384627827
749	3.3839221
750	3.378435841
751	3.37507209
752	3.374048266
753	3.371371174
754	3.3703293
755	3.369215479
756	3.367202311
757	3.366420049
758	3.365351485
759	3.363231685
760	3.363031694
761	3.360673015
762	3.35799219
763	3.355466191
764	3.352634383
765	3.350698591
766	3.348388769
767	3.34565357
768	3.344558134
769	3.343313032
770	3.342041306
771	3.341738558
772	3.340606216
773	3.338872308
774	3.336071476
775	3.3336832
776	3.331925553
777	3.330871933
778	3.330471859
779	3.328993966
780	3.326753435
781	3.324161519
782	3.323682319
783	3.322447108
784	3.319712465
785	3.316885085
786	3.314994449
787	3.313236042
788	3.3110154
789	3.309235028
790	3.306646452
791	3.305956486
792	3.304267734
793	3.303461368
794	3.30327613
795	3.30285046
796	3.302216522
797	3.300913394
798	3.298163346
799	3.29757465
800	3.296267614
801	3.294791746
802	3.294365972
803	3.29328977
804	3.291337961
805	3.288986745
806	3.288690422
807	3.287662776
808	3.287205127
809	3.286357181
810	3.28549928
811	3.283809024
812	3.28180994
813	3.279364063
814	3.278200774
815	3.275978272
816	3.274464318
817	3.273020118
818	3.272047469
819	3.270873058
820	3.268683018
821	3.267790174
822	3.265390016
823	3.265081977
824	3.264819485
825	3.264098553
826	3.263303263
827	3.261444101
828	3.260849268
829	3.258491087
830	3.255843913
831	3.253903504
832	3.253328533
833	3.252094601
834	3.249366379
835	3.248980992
836	3.246307234
837	3.244355536
838	3.242215855
839	3.24125308
840	3.239401594
841	3.237817625
842	3.234388187
843	3.233039197
844	3.230396653
845	3.229881749
846	3.224853557
847	3.224350402
848	3.224096158
849	3.22334347
850	3.222113598
851	3.218436959
852	3.216163077
853	3.214019089
854	3.211065819
855	3.20989978
856	3.208499275
857	3.206122203
858	3.204836312
859	3.203464001
860	3.202976974
861	3.201375393
862	3.200337773
863	3.198382725
864	3.19584273
865	3.195236025
866	3.193863431
867	3.191674684
868	3.190355639
869	3.188517784
870	3.184905876
871	3.182802509
872	3.1820045
873	3.181694546
874	3.179563349
875	3.178404424
876	3.176913862
877	3.175262185
878	3.174099992
879	3.173412544
880	3.171985284
881	3.169090645
882	3.167532226
883	3.165712865
884	3.164827342
885	3.16230492
886	3.160523174
887	3.160094431
888	3.159414315
889	3.157443628
890	3.156403104
891	3.155095807
892	3.153452295
893	3.151722816
894	3.149712441
895	3.148721524
896	3.148394854
897	3.145672506
898	3.143823367
899	3.143348951
900	3.142209071
901	3.140096543
902	3.138960167
903	3.137374505
904	3.134914597
905	3.133203357
906	3.132770355
907	3.130612337
908	3.129940961
909	3.128432131
910	3.125658449
911	3.12351085
912	3.120652163
913	3.119488222
914	3.117795348
915	3.116856888
916	3.114938845
917	3.114561396
918	3.112454654
919	3.111604371
920	3.110030476
921	3.108143105
922	3.107012817
923	3.105747827
924	3.105147458
925	3.103832324
926	3.101813977
927	3.100371092
928	3.100078383
929	3.099810524
930	3.099389059
931	3.098170802
932	3.096878689
933	3.095033928
934	3.092850489
935	3.090323717
936	3.088307425
937	3.085723038
938	3.083613178
939	3.082820755
940	3.080860143
941	3.078810434
942	3.076878783
943	3.075788345
944	3.074223415
945	3.072830586
946	3.070876016
947	3.069825531
948	3.067996316
949	3.06775607
950	3.066128068
951	3.064759122
952	3.063645376
953	3.063287275
954	3.062027112
955	3.061257312
956	3.060754953
957	3.059394776
958	3.05729551
959	3.055925496
960	3.055736748
961	3.053819814
962	3.053672764
963	3.051704649
964	3.050901434
965	3.050102054
966	3.047837612
967	3.046285917
968	3.045551099
969	3.043949584
970	3.043702429
971	3.043537801
972	3.043329125
973	3.041816641
974	3.040833332
975	3.038749688
976	3.037499307
977	3.037028813
978	3.032925122
979	3.031346421
980	3.030256298
981	3.02899741
982	3.027523659
983	3.026591921
984	3.025927013
985	3.023466532
986	3.021826166
987	3.020386018
988	3.01852642
989	3.017054376
990	3.016019928
991	3.014682087
992	3.012745587
993	3.010460485
994	3.008783371
995	3.007367877
996	3.005569425
997	3.005125051
998	3.004399683
999	3.003122131
